Treat,Rep,Mortality
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,1
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,11,1
10,11,1
10,11,1
10,11,1
10,11,1
10,11,1
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,11,0
10,12,1
10,12,1
10,12,1
10,12,1
10,12,1
10,12,1
10,12,1
10,12,1
10,12,1
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
